Year,Population,Season,Line#,Treatment,TechRep,Load (log[count/mL])
2012,PA,Spring,6,PR,3,2.246260186
2012,VA,Fall,40,PR,1,2.245730881
2012,PA,Fall,33,PR,1(2),2.243594092
2012,MA,Spring,2,PR,3,2.241698174
2014,VA,Spring,5,PR,1,2.239500563
2012,PA,Spring,2,PR,2,2.237549901
2014,PA,Fall,11,PR,2,2.237549901
2012,MA,Spring,16,PR,1,2.2361403
2012,VA,Spring,4,PR,3,2.235572594
2014,VA,Fall,20,PR,3,1.902239261
2012,VA,Spring,2,PR,1,2.234430459
2012,VA,Spring,13,PR,2,2.234143512
2012,VA,Spring,18,PR,1,2.234143512
2014,PA,Spring,4,PR,1,2.233279242
2012,PA,Spring,6,PR,1,2.232118796
2012,MA,Spring,17,PR,1,2.22917632
2012,MA,Spring,9,PR,3,2.227682346
2014,PA,Spring,20,PR,1,2.226778504
2012,PA,Spring,15,PR,2,2.224647333
2012,VA,Fall,22,PR,1,2.224647333
2012,PA,Fall,28,PR,1,2.223105627
2012,MA,Fall,22,PR,2,2.22217266
2014,VA,Spring,2,PR,3,2.219972067
2012,PA,Spring,5,PR,1,2.218699401
2012,VA,Spring,12,PR,3,2.213824704
2012,VA,Spring,7,PR,4,2.210481256
2014,VA,Fall,2,PR,2,1.87441643
2012,MA,Spring,13,PR,1,2.206364444
2012,PA,Spring,10,PR,1,2.206364444
2012,PA,Fall,21,PR,1(2),2.205316684
2012,PA,Spring,7,PR,1,2.202485008
2014,MA,Spring,9,PR,1,2.202485008
2014,PA,Spring,10,PR,2,2.202485008
2012,MA,Spring,6,PR,3,2.201408684
2014,MA,Spring,1,PR,1,2.199961024
2014,MA,Fall,16,PR,1,1.864797517
2014,VA,Fall,3,PR,1,2.194399591
2012,PA,Spring,5,PR,3,2.191729282
2012,MA,Fall,33,PR,3,2.191729282
2014,MA,Spring,5,PR,1,2.191729282
2014,MA,Spring,7,PR,1,2.191729282
2014,PA,Spring,1,PR,1,2.191729282
2012,VA,Spring,10,PR,2,2.190569611
2012,VA,Spring,2,PR,3,2.190569611
2012,VA,Fall,39,PR,2,2.189008789
2014,MA,Fall,3,PR,2,1.854888688
2012,MA,Spring,19,PR,2,2.187430955
2012,MA,Spring,7,PR,1,2.187430955
2014,VA,Fall,11,PR,1,2.185835734
2012,MA,Spring,12,PR,2,2.184627676
2012,MA,Spring,1,PR,2,2.178431373
2012,VA,Spring,6,PR,2,2.178431373
2012,VA,Fall,29,PR,2,2.176733233
2014,VA,Spring,16,PR,2,2.176733233
2012,PA,Spring,5,PR,2,2.174582156
2012,PA,Spring,1,PR,1,2.173712695
2014,VA,Spring,2,PR,3,2.170627787
2012,PA,Fall,26,PR,1,2.17018167
2014,PA,Spring,6,PR,1,2.17018167
2012,MA,Spring,20,PR,3,2.168835011
2014,PA,Spring,16,PR,2,2.168835011
2014,VA,Spring,15,PR,1,2.168835011
2014,MA,Spring,14,PR,1,2.163787231
2014,PA,Fall,20,PR,2,1.829516906
2014,MA,Spring,14,PR,3,2.161907142
2014,VA,Spring,4,PR,2,2.161907142
2012,VA,Fall,29,PR,1,2.160002314
2014,MA,Spring,9,PR,3,2.160002314
2014,VA,Spring,13,PR,2,2.153130829
2014,VA,Fall,3,PR,2,2.152627299
2012,PA,Spring,19,PR,1,2.150595479
2012,PA,Spring,14,PR,2,2.149568773
2012,MA,Spring,5,PR,1,2.148014932
2014,MA,Spring,14,PR,2,2.142711598
2014,VA,Spring,10,PR,1,2.141081958
2014,VA,Spring,3,PR,2,2.141081958
2012,VA,Spring,15,PR,1,2.140534642
2012,MA,Spring,20,PR,1,2.139433764
2012,VA,Fall,23,PR,2,2.138880169
2014,VA,Spring,15,PR,2,2.138324449
2012,MA,Fall,38,PR,3,2.137206569
2014,MA,Spring,3,PR,3,2.137206569
2012,PA,Spring,14,PR,2,2.136079988
2012,VA,Spring,2,PR,2,2.133224574
2012,PA,Fall,35,PR,3,2.129722028
2014,MA,Spring,11,PR,3,2.128535425
2014,PA,Spring,19,PR,2,2.122451974
2012,VA,Spring,12,PR,2,2.121203993
2012,MA,Fall,34,PR,2,2.119945161
2012,MA,Spring,8,PR,1,2.118675286
2012,PA,Spring,16,PR,1,2.118675286
2014,MA,Spring,8,PR,1,2.118036146
2014,PA,Spring,10,PR,2,2.114797425
2014,MA,Spring,17,PR,3,2.114797425
2012,MA,Spring,17,PR,1,2.114140894
2012,MA,Spring,7,PR,2,2.112818831
2014,MA,Fall,11,PR,1,1.778819911
2012,PA,Spring,4,PR,1,2.110137924
2012,MA,Spring,5,PR,1,2.10877862
2012,PA,Spring,4,PR,1,2.10877862
2014,MA,Spring,14,PR,2,2.107406432
2014,MA,Spring,19,PR,2,2.107406432
2012,PA,Spring,20,PR,3,2.103917954
2014,MA,Fall,10,PR,1,1.769876722
2012,MA,Fall,30,PR,1,2.102498679
2012,MA,Fall,37,PR,4,2.102498679
2014,PA,Spring,13,PR,1,2.102498679
2012,MA,Fall,40,PR,2,2.099617692
2012,MA,Fall,30,PR,2,2.099617692
2014,PA,Spring,21,PR,1,2.096678204
2014,PA,Fall,6,PR,2,1.761852436
2012,PA,Spring,15,PR,3,2.093677789
2014,MA,Spring,17,PR,3,2.093677789
2014,VA,Spring,14,PR,2,2.093677789
2012,VA,Fall,27,PR,1,2.090613869
2012,PA,Fall,37,PR,2,2.090613869
2014,VA,Fall,1,PR,1,1.756504315
2012,PA,Spring,18,PR,1,2.088272608
2012,VA,Spring,16,PR,3,2.086690463
2012,PA,Spring,12,PR,1,2.083473334
2012,PA,Spring,1,PR,3,2.082657755
2014,VA,Spring,2,PR,2,2.082657755
2012,MA,Fall,34,PR,3,2.081837556
2014,MA,Fall,11,PR,1,1.744332037
2014,VA,Fall,19,PR,2,2.075103094
2012,MA,Spring,6,PR,2,2.074238824
2012,VA,Spring,18,PR,1,2.074238824
2014,PA,Fall,1,PR,1,1.740036029
2012,PA,Spring,2,PR,3,2.071614616
2014,VA,Fall,11,PR,2,1.738281283
2012,MA,Spring,3,PR,2,2.070729201
2014,MA,Fall,8,PR,2,1.735608625
2014,VA,Fall,5,PR,3,2.065299884
2012,VA,Spring,19,PR,2,2.064374866
2012,MA,Spring,18,PR,1,2.063443899
2012,VA,Spring,16,PR,2,2.063443899
2012,MA,Spring,14,PR,1,2.060614529
2014,MA,Fall,12,PR,1,1.727281196
2012,MA,Spring,19,PR,2,2.058697086
2012,MA,Spring,6,PR,3,2.058697086
2014,PA,Spring,7,PR,1,2.057728756
2012,VA,Spring,2,PR,3,2.056753905
2014,MA,Spring,12,PR,2,2.056753905
2012,VA,Fall,38,PR,2,2.052787497
2012,VA,Fall,32,PR,2,2.052787497
2014,MA,Spring,11,PR,2,2.050762781
2012,MA,Fall,36,PR,1,2.049739704
2014,PA,Fall,2,PR,2,1.714338267
2012,VA,Fall,40,PR,3,2.043444589
2014,MA,Spring,16,PR,1,2.043444589
2014,PA,Spring,6,PR,2,2.042368266
2014,PA,Fall,21,PR,1,1.709034933
2014,PA,Spring,9,PR,3,2.04128388
2014,MA,Fall,5,PR,3,1.707950547
2012,PA,Fall,25,PR,1,2.037981117
2012,VA,Spring,3,PR,1,2.03460124
2012,PA,Spring,16,PR,2,2.033456848
2012,VA,Fall,32,PR,3,2.033456848
2012,VA,Spring,7,PR,3,2.032303338
2012,PA,Spring,4,PR,3,2.031140562
2014,MA,Spring,20,PR,1,2.031140562
2014,VA,Spring,14,PR,1,2.031140562
2014,VA,Fall,17,PR,2,1.697807228
2014,PA,Spring,6,PR,3,2.02878661
2012,PA,Spring,10,PR,2,2.026393749
2012,MA,Spring,15,PR,2,2.02518232
2012,MA,Spring,13,PR,2,2.023960669
2012,PA,Spring,8,PR,1,2.023960669
2014,PA,Spring,6,PR,1,2.022728621
2014,MA,Spring,16,PR,3,2.020232613
2014,PA,Spring,2,PR,3,2.020232613
2014,PA,Spring,11,PR,1,2.017692814
2012,PA,Spring,11,PR,1,2.016406008
2014,MA,Spring,5,PR,2,2.01510766
2012,MA,Spring,2,PR,3,2.009794593
2012,MA,Spring,8,PR,3,2.008435288
2014,PA,Spring,14,PR,1,2.008435288
2014,PA,Fall,21,PR,1,2.00567778
2014,PA,Fall,10,PR,1,1.670945742
2012,VA,Spring,15,PR,1,2.001440458
2012,MA,Spring,16,PR,2,1.99927436
2014,MA,Spring,16,PR,2,1.99927436
2012,PA,Spring,4,PR,2,1.996186319
2014,PA,Spring,8,PR,2,1.995590578
2012,PA,Spring,3,PR,1,1.994692345
2014,PA,Fall,5,PR,2,1.660606202
2012,VA,Fall,25,PR,2,1.993485964
2014,PA,Spring,14,PR,2,1.992574535
2012,VA,Spring,18,PR,3,1.991350301
